Gene,LogFC
NOL4,2.845327183
ARL11,2.004915395
MED25,3.047171642
ABCC6P2,3.579170796
MIR5002,4.452810824
TSIX,6.835382971
HIST3H2BB,4.620504023
HOXA6,6.064746762
RNU6-76,8.647021737
NANOS3,5.104224989
ZNF583,4.07058988
KCTD4,1.640098122
LOC100130899,1.656227538
HRG,4.343879321
LOC340017,2.488840448
LOC441242,3.633942029
MBD1,2.339785944
IQCD,2.845127046
LOC100507117,3.808542367
CD48,4.134692296
VCAM1,5.003816596
APOPT1,1.827021061
FBXL20,2.280666665
HIST1H3A,3.082617398
PET117,2.382196767
ADAM1,2.647991761
RNF113A,4.042253765
CNR2,5.984980244
C2orf27A,3.729919381
SPEF1,2.972035548
LOC389765,2.900971272
C17orf99,3.711485945
UBE2K,4.385090021
AKD1,1.872629729
METTL12,2.762214773
IER3IP1,2.733061119
CYMP,5.555434
CCNG2,2.366517161
LAMA5,5.995580531
NME3,1.271114966
ANKDD1A,3.782502925
SLC25A34,2.673184179
GABRQ,4.316253329
BRCA2,4.417839278
LOC400940,2.749109081
BACE1-AS,2.097905008
CYP2C19,3.426824784
PARD6G,2.210301274
FOXR2,5.62532818
RERE,2.853004265
CTDP1,1.28535199
OR51V1,5.932703564
EPS8L3,2.542748787
TEKT2,4.003027967
ATP5S,1.907252322
KLK9,4.711919501
TAAR8,4.961205845
GPC2,2.453249937
MIR1253,3.088675632
EFHA2,2.677892417
MIR4729,4.809743511
ZKSCAN5,2.252549981
OR9K2,5.654378481
GPR26,2.964798639
SNORD18C,5.257616456
HSD17B6,4.227657311
OR2C1,5.094849566
SPANXN4,3.2310083
TRIM69,2.85514312
CSRNP2,2.773304857
FLJ39653,3.254151072
MED29,1.178630689
TRIM3,2.042817538
MIR18B,3.466460864
LOC653075,2.97294051
MIR548AX,4.821959399
SUV420H2,2.027105278
LPAR4,3.149952224
PDLIM3,3.429775744
SCARNA5,3.062521111
C10orf53,2.36259468
BTF3P11,3.434995219
PEX13,1.803881629
PSG7,2.624854346
HGFAC,3.065550122
MRPL42P5,2.666988038
SLC7A3,3.299739904
ZNF563,2.224136917
KCNH8,3.867112619
KIR2DL1,5.054905344
SNORD115-11,5.757695374
ARFGEF2,2.621018447
MYH7B,3.416383727
ATF7,2.680344742
DCN,3.883563616
LINC00381,2.814374249
TRIM10,3.571183304
GLYATL1,2.674837334
OR5J2,5.01911665
LOC100289561,1.700093461
DPPA3,5.24844232
NXPH2,4.776665058
CTNND2,4.732330822
NDRG3,1.294690352
FBXW9,2.2102903
MIR509-1,5.680059549
MIR3666,2.312910076
OR4D5,5.074921715
SNORD38B,9.706061678
AGBL2,2.883793718
PFKM,2.238908302
LOC401010,3.492186766
CCT8L2,3.558758394
PDDC1,2.355919739
C1QTNF6,1.736599178
LOC144481,2.44355099
SECTM1,3.944588694
ZMYM1,2.338141341
GORAB,1.862477276
HIST1H1T,2.850534955
HPCA,3.004783811
MIR3942,4.986576212
TEX21P,3.452179948
AARSD1,3.853616574
DARC,3.904181238
MC5R,5.344422526
CHD9,1.437153844
CHRDL2,5.160225945
MIR4696,5.581947371
M6PR,5.184408579
EVPL,1.636923963
LOC644172,5.202396722
KRIT1,2.602769282
C12orf61,3.771917779
ANO9,2.80380591
SNORD115-44,5.561767618
RIMBP3,4.016623665
LOC255512,2.076674036
MIA,1.505186874
SMURF1,2.163777618
RASA3,2.429279447
ST8SIA3,2.902541931
LOC286135,4.821594464
COQ7,1.775925564
SNORD113-7,3.326332144
GPC5-AS1,4.711186486
GJC1,3.596959377
HIST1H2APS1,4.897466866
ATF7IP,3.750975681
SYNGR3,2.126348908
LOC100507384,4.438499243
RLTPR,1.951735022
5-Sep,3.278158899
LOC401463,5.361706421
MIR1225,2.007694875
CISH,3.2026703
CLPSL1,5.69730128
ZNF337,3.475042595
ARHGEF15,2.345500351
SAP30BP,1.42297105
RNF25,3.640911407
DENND1C,3.504656048
MIR514A1,5.477597655
LOC255167,3.26318861
SNAP25,4.349196497
SH2B1,2.783715769
COMP,5.454526529
SLC5A10,2.287721361
TACO1,3.581765617
TRAPPC6A,2.296192415
WDR60,3.686095669
SMAD6,4.813777383
MORC2-AS1,1.895014629
CYP17A1,4.451779807
ACO2,3.850281734
REEP2,1.839507311
DEFB131,4.432207313
TRPA1,2.010037414
OR6C2,5.420852734
LINC00612,4.353503141
MIR202,4.416860118
IRF2BP1,1.073953548
PDP2,1.594048321
FAM86HP,2.86695564
OR52I2,4.666734194
FGF8,2.77532968
FUT8,2.922153928
NPRL2,1.649173647
CCDC168,1.672669555
FAM49A,3.131545213
CERS1,2.645685832
ZNF500,1.698306058
MIR449A,5.677773501
ANP32C,3.00645259
MIR4515,5.537536513
LOC284551,3.445143524
CYFIP2,4.827635059
NXNL1,2.581459773
RPE65,3.343961584
PARP12,1.986808823
TNNI3,3.433167426
LOC100335030,3.313656134
UBIAD1,1.8974921
CENPM,2.699567804
OR5AK4P,5.330563085
POLRMT,1.354161809
GBP2,2.432610906
CATSPER1,3.499035771
OR6C70,5.303059934
TM9SF4,2.51421331
MBD3L3,3.66152704
DDX49,1.768523567
ZCCHC12,4.529184457
MIR499A,5.299984954
HIST1H1E,4.602854512
GCM2,3.113136472
ARL4A,3.2012283
OLFML2B,3.727125436
XAGE1C,4.634395972
RCAN1,1.827676659
DPYD,5.858547531
PDF,1.337584342
FCGR1B,1.951371142
RBM47,3.263667567
NANOS1,4.423142574
RGPD3,1.690797297
LOC100130298,4.093218872
GRIN1,2.931009982
MIR186,2.791337253
SCGB3A1,6.428404537
CIB2,2.212781918
TUBGCP5,2.612045786
OR10G4,4.947211903
LOC284379,1.797871599
PRR22,5.181915465
SNORA38B,4.251070986
C14orf183,3.422552696
ZNF205,2.163529468
SLITRK4,5.154741246
PCDHB10,3.65344356
CACNB3,2.072174839
SLC16A3,2.25115909
CXCL9,4.112617991
C2orf74,2.007536961
BTBD17,3.279874703
LINC00379,5.198294152
ARSH,2.944265654
PSPN,3.464073776
TEX12,4.014690485
SETD6,2.109555009
ZNF28,2.159250412
MIR3649,2.52271283
OR4N4,4.896158163
C18orf63,4.713560523
LOC100507500,3.190421296
SCAND2,1.40573064
FZD3,4.97829425
TCF3,2.146753711
HOXA10,2.518903336
AQP12A,5.162394338
PMF1-BGLAP,3.157258097
COL6A4P2,4.828616478
SUMF1,1.707344978
KCNE4,4.087558225
TSPEAR,3.054465819
GPR20,4.131493057
OR11L1,5.381846701
DGKD,3.5103525
MAGEB6,5.148048255
KIR3DL3,4.803871221
MIR1910,4.951574766
MLIP,2.906117791
OR10G8,5.088699598
OR51Q1,2.569833862
IFI44,2.507666972
CCL19,2.920206263
POM121L9P,3.653470176
MYH15,2.95985
EDA2R,3.864204548
LOC100131655,2.407045314
MIR5092,2.751899697
C19orf60,2.060437181
LOC100507203,3.683051154
C14orf79,2.650299004
C6orf163,3.422206581
SNORD114-29,2.50638174
TNFSF11,2.628367541
B3GNT7,1.769808376
TMEM239,5.863465653
LOC340508,2.610239108
USP17L6P,4.181744485
RNU6-78,4.656166549
VWA5B1,5.020685467
MIR30D,2.549893415
MCOLN1,1.353311457
LOC100133461,4.600946379
STAB1,3.487132383
IFNA6,3.361997953
MIR526A1,5.013017993
SNORA14B,2.481075483
FTSJD2,2.863047739
ZNF181,1.810100392
LOC642426,5.008037769
LPHN3,4.747015217
TRAIP,3.131459929
OR2F2,4.436210463
GAGE12B,2.981848517
LOC100507470,4.465388295
MIR608,3.046698426
NR2E3,1.592522365
CCDC107,1.376397489
ADM2,1.535360103
LRRC37A4P,1.628758868
HSF1,1.173387119
WFIKKN1,2.49692023
FAM99B,2.98602918
MIR3612,3.57659411
TMEM134,1.307095129
AOAH,4.429947965
SNORD115-6,4.934978882
FAM138E,2.505575245
LYZL6,2.45984657
ROPN1L,1.458657229
PKHD1L1,3.980423411
MIR3620,3.110087487
RIMBP3B,4.493426676
OR52D1,4.902960752
PFN3,2.442586361
LOC100272228,2.428540016
SRD5A2,2.599478629
CSRNP3,3.888402075
GALR2,3.47794958
CXXC4,3.332603851
MIR16-1,2.648609874
LPAR2,2.343186608
MIR711,2.102792733
WNT6,2.736803335
LOC100132077,1.949680803
MKRN3,3.323502234
LOC728400,4.138622325
CILP2,3.473165958
MYH6,4.644225504
CYP4F11,1.941478272
SPPL2B,2.640688692
MIR15B,2.565856017
LRRC24,1.577083922
RIMKLA,3.182124998
SNORD53,2.587586949
MIR5187,3.980256943
GPR50,4.79955175
LOC145837,6.057611202
MIR3919,4.575656642
GMPR2,2.027303604
CCDC151,3.224194739
ZNF597,1.388160895
PLVAP,4.490077272
C10orf71,3.607969222
NXF2,2.543437151
AHDC1,3.776048691
MAP2K7,2.233311177
LOC729506,3.543038849
SLC28A2,3.458798041
OPLAH,1.354455661
MGAT5,2.614921361
AURKB,2.786804008
FAM193B,2.593446485
RAX,4.209914335
SPSB1,1.241123058
LOC100505676,3.460933845
C14orf105,3.257750899
HIGD1A,2.013862852
ITGAD,3.693621827
PDE11A,4.216300907
DMRTA2,2.479609026
TMEM220,3.086473664
CLRN2,5.660461914
UGT1A9,2.736799021
MXI1,2.228915319
ZNF90,1.806031031
HS3ST2,2.500951891
OSBPL7,2.306942392
CCDC83,4.477350102
SYPL2,2.159950356
KCNK18,2.122313515
VPS37A,1.705747274
OR4N2,4.63058881
ORAOV1,2.409581835
HIST1H3J,2.676201675
SNX25,2.339789854
NAPEPLD,2.820495601
SNORD116-23,4.601921698
HGC6.3,2.891475277
MIR5003,3.442597915
LINC00303,4.03626823
LOC440905,3.981545036
FAM217A,4.024348971
PGK2,2.393958711
LILRA2,3.15119575
FAM46C,2.184777249
RREB1,1.18494154
C16orf58,1.854395449
TRAT1,2.398688336
MTRNR2L8,2.279876073
FBXO6,2.865320304
SLC10A2,4.052708801
CCSAP,1.878669084
TF,2.676960387
OR3A4P,4.524517014
MIR4284,4.540924088
LOC1720,2.611262001
MIR520C,4.518692846
TRPV1,1.758180165
SHISA4,2.659615834
MGC34034,4.499752823
LOC100129794,2.282593524
SLC2A8,1.060608489
TP73,2.430908012
CD300LB,4.622293261
CD4,3.463342424
C19orf80,2.947944477
PPP3CC,2.158584574
ZNF180,1.909512813
HOXA13,4.027369474
TSPAN16,3.247294132
C9orf129,3.043900114
KAT2A,4.053948996
LINC00312,2.934487483
RGS9BP,2.614936306
MIR4264,2.417965816
DPP7,2.021709404
MMD2,3.189978881
HOXA9,4.435136803
PFAS,2.296352933
TUSC5,3.659272678
RAP1GDS1,2.061135399
OR5AP2,4.415915578
HIST1H4J,1.722389997
ISG15,1.39778278
CDHR4,3.858873469
LOC388942,3.381095018
PCDHGB5,2.901869114
BVES,2.159602815
E2F7,1.292562491
RDH16,2.135846558
IQGAP2,2.753913869
LOC148145,2.691378376
ADAM32,3.440109402
MIR4520A,4.379423121
FOLR1,2.354471238
LOC91450,4.161422127
KRTAP22-2,4.286005318
RBM14-RBM4,2.299466904
GJA10,3.857642715
SV2C,5.370157159
HECTD2,1.584820395
NTRK2,3.714476862
BRAT1,2.039827384
GSDMC,4.098297181
ANKRD30BP2,4.352026374
MIR940,3.320670945
LINC00599,3.170692479
CRLF1,1.267868196
SMARCD3,2.273001691
MIR4488,3.867635777
PNMA1,1.485312554
PLAC8L1,2.300624582
C2orf47,2.530554221
FAM153B,4.433658924
CYP27A1,1.939845786
MTERFD1,2.903960302
PLAC1L,4.449700281
RND1,2.498014673
MIR1469,2.794552251
LYG2,2.630619162
CCDC85B,1.976486411
MIR760,4.303220338
CIDECP,1.535498176
MIR611,3.246267506
NEU4,1.732110688
SLC39A12,2.616347967
LINC00410,4.289443451
MIR147B,3.613809002
FAM75C2,3.613447793
MRPS9,3.157610565
ASTN2,3.74727921
UROS,1.974108134
GOLGA8C,3.240784707
NTSR2,4.521609807
IGFBP1,3.051912806
ZP2,3.969384506
ZNF446,1.329104758
CLDN2,2.542057553
RNASEL,2.28821444
ZHX1-C8ORF76,2.937328556
SRY,6.046094627
ARMC6,1.453852369
MIR4514,3.481556071
SLCO1A2,3.722569593
DPCD,1.698343971
LOC285205,4.787363442
MIR518B,4.195164416
SNORD9,4.163026674
TMEM82,3.332122213
ALDH5A1,2.837064498
RBBP9,1.902737036
TTTY18,4.174834693
CCR4,3.452095292
PRSS38,5.404859776
SNORD105,5.181925019
U2AF1,2.100622647
USP32P2,1.823781422
CT45A5,5.359610184
NPL,1.567886387
LOC728379,3.748747503
TRIM36,1.855571204
TMEM39B,1.387356527
RRP7A,3.089602526
GIPC1,2.77679018
LOC727982,2.308307327
MIR4437,3.234550497
PRM3,4.060659962
BMP4,1.937852363
MIR20A,4.056720809
LOC728405,3.866890564
LOC100134015,2.090057435
STX2,1.554487039
LIMS3-LOC440895,3.218093216
MCOLN3,2.019759109
TIAM2,1.410973392
MIR153-1,2.147353858
LOC729420,5.062998981
ZNRF3-AS1,4.554563115
EIF3CL,1.649345789
TYROBP,2.050572685
TCF25,2.767782744
CRISP2,2.329508424
MAPT,2.99009171
IL15,3.32222998
HERC2P4,2.438975585
MIR128-1,4.02421803
MRGPRD,5.761524255
ABHD8,1.55095922
UBXN1,2.455365826
HYAL1,2.377043089
MIR4690,2.555613572
BAIAP3,1.80732547
MIR323A,2.281949927
FGD5,2.248375051
DAGLB,1.874459014
ABCB6,1.583655915
TTTY12,3.689474129
LOC100507062,2.467463708
ENTPD2,1.882706403
LOC100505746,2.156463423
MIR518F,3.944400898
LOC100130417,2.266223308
SLC22A1,3.126470546
RNASE12,3.930983018
FAM5C,3.783998386
ODAM,3.719316838
C1orf233,1.987450835
CLLU1OS,3.020429228
NCOR2,1.522599286
FZD5,1.454111789
C5orf20,3.865766912
DAZL,3.102931273
TLE2,2.634882871
KRT6B,1.657026347
LPPR1,2.097865581
TMPRSS7,3.508408127
LDLRAP1,1.924209888
IL22,2.782585723
PSME3,3.094963363
ZNF703,1.245252324
LAMB4,2.732817759
KCNG3,4.478900369
GYG2,4.89675837
ST6GALNAC3,2.355121332
MIR4464,2.317686181
XCL2,3.808180068
LCP1,2.835170498
SNAR-G1,2.768567882
USH1C,3.073408541
CA13,1.832838406
RAB27B,2.217054634
WNT10B,4.578452452
SPRR4,1.899023798
MIRLET7B,3.749547428
SNORD114-11,2.239209107
MEOX1,2.397480623
PCSK2,2.530474886
STXBP3,1.174434363
PRL,3.735909765
MIR591,3.604985909
LOC440704,3.101925721
MEG3,1.388689721
FOLR3,1.799147279
C17orf90,1.187098606
SNORD115-2,2.255432026
EIF4A3,2.249930901
PODXL2,1.496361454
LIX1,2.284106123
SNX9,1.522556427
LOC650623,2.081330575
CXCR6,2.617006466
LHFPL3,4.506808033
C5orf65,3.134148671
A4GALT,1.063157782
DNAAF3,2.052734478
FAF2,3.301540687
C1QTNF9,3.99850493
ALPI,2.31164897
BTBD8,1.537455424
SLC35G1,1.801915296
MRPL42,1.259559315
METAP1D,1.780067417
OR1K1,5.403889212
FAM21A,1.835203313
SNORD115-13,3.639202963
ECRP,3.637301694
CCL1,3.499920609
MIR5587,2.887218514
MAGEB16,3.617067441
MIR378D1,1.778566965
NINJ2,2.370532776
HOXA3,3.603553713
CPXM1,3.206976369
NOL3,1.772457637
STK16,3.037128802
TMEM158,2.079855353
MIR5192,5.805641782
CRYM-AS1,2.568743725
MIR19A,3.535392503
P2RY8,2.845944322
SLC24A2,3.53489004
FPR3,3.550267765
MIR3907,3.138128257
RNASE11,3.541843021
ZFP36,2.234093636
LOC100507250,2.483662386
RPS15AP10,2.584666906
MFSD6L,3.150326572
C19orf38,3.026289047
PRAMEF9,3.38078378
TMEM52,2.323561009
ZNF333,2.469421697
UQCRBP1,2.640398879
SNORD116-21,3.524663524
LOC100128264,3.031393262
RNF166,3.885983513
TBC1D8,3.284327604
TFAMP1,3.189555678
AVPR1A,4.565279233
CORO2A,1.666713212
PLIN4,2.179353364
OR1J2,3.473393452
CDK5R1,2.686234207
LOC100131347,3.536123546
MIR3186,2.181805523
SLC39A5,3.242288666
EMBP1,3.196717132
CYP2F1,2.820386014
FASTKD5,2.543396109
CEP72,1.645819193
LOC643802,2.763953657
MS4A5,3.457390007
JAK3,2.789319501
GPHB5,3.25865985
KIF3A,1.865625909
NBPF9,1.603972
SNORD116-17,3.451796185
ABL1,2.619747148
MIR3169,3.096291505
TAS2R14,2.24220085
PLEKHS1,2.374592684
TTC23L,3.139864328
ZNF492,1.623978272
LOC284998,3.060864615
EIF2C3,1.083044368
OR2A7,2.579730991
SNORA55,1.810849345
VNN2,3.364051206
ATG14,1.706441984
NKG7,2.361180228
MIR4305,3.412045899
MRGPRG,2.518657987
FBXO27,2.89571287
IQCE,2.061665765
PEBP4,2.399991336
ADORA1,2.239757155
CDH9,4.324646126
C21orf90,2.533986879
C14orf80,2.003906224
LOC100131726,3.26500736
FUBP3,1.926662847
CYB561,4.508428849
TYW1,2.049690582
TRAK2,1.901103302
HNRNPUL2,2.500334571
DMP1,1.833970446
LOC646627,3.337824794
MIR5007,3.321657137
AFMID,1.408447001
FAM201A,1.463379225
SH3RF1,1.888489819
CT47B1,3.299575667
C2orf16,2.475335247
LGALS7B,2.021985609
CADM2-AS2,2.2231512
ESF1,4.335692005
UBXN7,2.341773944
PPP3CB,2.015491543
MIR549,2.163379277
ZNF688,1.174107665
GSX1,3.89083107
OSGEP,1.6842007
GALNTL2,2.259228786
RTN2,2.044920717
CD34,2.918994642
SNORD86,3.568895678
LINC00238,3.250581289
ACSM1,2.211535019
LOC100131089,1.397195868
LOC90834,1.613049367
GIMAP1,3.265795476
VSTM1,4.496199092
IDO2,2.638524595
MIR4788,2.936907298
TTTY23,2.693742122
RELA,1.680507761
C10orf76,1.481383218
OR4F17,2.771127686
CSNK1G2,2.069246795
MMP27,3.821087123
CFI,2.365633111
CHSY1,1.628746729
LOC150381,2.206572446
TOR1B,1.84244477
MAGED4B,3.73982673
MAPK11,1.296080848
MIR219-2,3.218393703
C11orf48,1.981937833
ZNF317,1.805956789
CCDC97,1.067747788
SLC32A1,3.00202421
IFNA2,3.271407132
FBXO39,3.207301157
C8orf74,2.631137814
ARHGAP33,1.726087301
BEX2,2.262810864
DEFB115,3.708700937
PAQR5,1.284734883
FAM170B,3.167069214
KLHL17,1.092636216
CFC1B,5.171901037
PRAMEF11,2.964962002
IFNA16,3.184590215
SIPA1L1,1.5004292
KRT38,2.786438515
HEATR7A,1.127703051
SSBP4,1.694916428
CYP2W1,1.898817009
DEPDC5,3.110475677
ASGR2,2.227965375
FCHO2,1.755532934
GLCCI1,1.994511125
PGS1,2.683348812
HIBCH,1.872294462
CCDC59,-8.723963677
PHLDA1,-4.603794669
TBC1D10B,-5.758237219
ABHD16A,-7.753912422
PSIP1,-5.557527868
EPN1,-5.448820144
PPP1R26,-6.278845561
RNF11,-7.663866099
FAM108A1,-3.077071164
GTDC2,-8.815037054
VAMP8,-8.379375253
RPL11,-6.385393675
FARSB,-4.191872885
C5orf22,-3.613431773
TBL1Y,-10.06443091
RPL39L,-5.746877503
RBM42,-5.928493985
VHL,-6.040117951
MINK1,-8.911164013
SNORD18B,-12.21146914
LENG9,-6.104274797
KIAA0664,-6.401282288
MAPKAPK2,-11.92056395
FAM213B,-5.383166936
MRPL51,-4.835558794
GNG11,-6.205827408
SYNGR2,-4.948020572
SNAPC3,-3.816502898
XPO7,-5.868468481
C3orf35,-6.943150712
FUT6,-8.110812635
EOMES,-6.032563019
MLL4,-5.893963673
EHD4,-4.627394888
EFTUD2,-3.322996232
SLC22A5,-9.056825515
HMGB1,-7.737615161
OR10H4,-7.552118826
C6orf130,-6.31794317
TRIP10,-7.170397589
ACD,-3.959692813
DCST2,-8.883266648
EIF3E,-5.052031701
PA2G4,-5.190378872
DSEL,-9.995352959
APH1A,-5.099479861
PLCH2,-6.22864446
ALDH9A1,-5.437762732
PHKA1,-5.509253093
PLIN2,-3.189010953
PLA2G4E,-5.450791768
CIDEC,-6.105760845
SERPINF1,-5.363664706
ANXA2,-9.104625306
RWDD1,-4.400937452
NOS1AP,-6.724116385
SLC9A3R2,-3.960145086
SRMS,-8.424064561
TEAD2,-6.405439687
NDUFS5,-6.369663786
ANKRD16,-5.467565585
MST4,-5.227191155
MIR4787,-4.511457396
FBXW2,-2.771990834
LOC100130950,-9.017575637
CSNK2B,-7.086174404
LRMP,-6.390191226
CNTRL,-4.308952255
FCN3,-8.636204901
CYB5A,-2.863089568
POP1,-6.698224287
GAL,-5.641418434
MIR4750,-11.21074324
CTGF,-6.542552384
PPCS,-5.497700097
PRRC2C,-6.830935723
UHMK1,-5.70726752
NAGA,-4.753993979
PMCHL1,-7.55372612
ST6GALNAC6,-5.232957778
SNX22,-7.811341793
NDUFA1,-9.278234542
PFN4,-5.622070792
CLSTN1,-7.0479584
PHB2,-7.040247841
PPP2R5B,-5.141096036
BPIFA4P,-6.170322696
PGLYRP1,-8.957269671
GAPDH,-6.772716461
GTF2F2,-5.450614229
SNHG6,-7.478240843
CENPL,-4.477187435
QSOX1,-7.688602294
BMP2K,-7.752902989
MORF4L2,-6.774092651
HCAR2,-7.87664917
SRPRB,-5.596322213
GPR182,-8.666299332
MLANA,-6.086413492
SHFM1,-7.625686728
ARHGEF12,-3.898921554
ATP5O,-3.27736983
ANO4,-5.433005814
SERHL2,-8.521075658
METTL1,-4.754423763
MIR4650-1,-5.590963346
DHRS7,-5.634405498
FKBP14,-6.208969236
DARS,-7.267896564
DPH3P1,-2.872674927
SPTLC3,-2.910933361
C20orf11,-6.037318733
FOXRED2,-5.278539768
LINC00313,-5.432882138
SERPINB3,-3.641303999
LMO2,-6.089349681
C15orf41,-4.234036616
AS3MT,-7.5685018
MIR3944,-5.881347737
UBQLN2,-6.650291612
LOC100506368,-7.559099797
NFAM1,-9.100796176
GSTT1,-3.358030131
FGFBP2,-4.244596168
TMC8,-3.836420254
MAMSTR,-7.207603681
TRIM67,-8.164031927
IGDCC4,-8.807057106
OR4B1,-6.714399382
SLU7,-4.131790488
CARD8,-7.634051599
PLBD1,-4.719848873
CCT6A,-4.338912047
AIMP1,-5.630632323
RPS25,-5.197657209
SERPINE2,-4.173975737
MT2A,-6.349342186
RPL24,-8.717053765
SNORD116-9,-7.399537625
ORAI2,-6.082717874
ZNF93,-3.483773187
MIR4281,-7.275862737
APLF,-6.174967967
EEF1G,-4.738596836
FAM22A,-6.918908518
TPSD1,-6.362208554
LPAR3,-5.278040503
PLA2G2A,-6.350156187
PLA2G4F,-3.648059227
FRAT1,-5.161357512
ADO,-4.369986952
LOC643486,-8.231615056
KRTCAP3,-3.103099456
TIMM21,-6.173842933
CREB3,-6.134196838
CACNA1E,-6.872348488
NR2F6,-6.168622297
NUDT14,-5.724547472
AOC2,-7.166618381
EIF2B5,-6.018171599
AGAP1,-5.134898964
REG3A,-5.230541167
HSPE1-MOB4,-5.411879201
MAGEB18,-7.060802576
HEXIM2,-3.627359659
BEND3,-6.655477021
BMS1P5,-5.538728651
KIAA1407,-3.991928683
TMSB4X,-5.72088612
RRBP1,-2.758286093
CSNK2A1,-6.189888396
JUN,-3.077817171
CEP350,-3.231931512
TMC5,-8.201379426
TRA2A,-5.235261338
ADIPOR2,-4.358619831
LLGL1,-5.019578027
DBIL5P2,-9.923278946
NMD3,-6.231226246
C1orf182,-8.758850101
LOC100499466,-2.640566633
LAX1,-5.426411021
RPS4Y1,-7.887170767
NDUFB9,-6.120475653
MANF,-3.313968316
KAT2B,-5.172726163
EXOSC9,-4.257489206
MT1F,-7.260819672
CKS2,-6.42506604
SMAD3,-5.633520472
PDIA2,-5.534172593
NOMO2,-5.539440757
RPL36A-HNRNPH2,-3.289847502
SH2D4A,-6.040332981
MESDC1,-4.696779415
SIAH1,-3.4062351
CCDC24,-3.520306971
ZNF304,-4.884614932
C6orf141,-3.852136001
DNAJB2,-6.23326551
RPS3A,-9.146419383
ZFP62,-4.792495439
RPL23AP82,-5.425477956
HIP1,-3.150991194
DYDC1,-7.146276382
AHNAK2,-6.238892531
NT5DC3,-3.982623007
CSDA,-5.049190006
PTPRB,-7.012354359
FAM216B,-5.116633205
SYTL1,-4.58358808
SOD1,-5.716727294
SLCO4A1,-7.006483661
GOLGA6L10,-8.917748206
YWHAB,-8.856824119
ICA1,-8.062908874
KLK15,-5.832243595
B2M,-4.815063905
HNRNPC,-2.804865996
CALML4,-5.759219251
VSIG10,-7.49532278
LRRC37A5P,-8.149244381
RHOF,-5.328037418
SH3PXD2A,-5.163201925
ACTB,-4.846534443
ARHGAP22,-6.668019874
SOX30,-6.040769964
SP3,-3.825670211
CHD5,-5.017445725
DNAJB11,-4.598085423
MEGF11,-7.129646562
MRPL4,-2.623745929
VPS11,-4.83076601
COL17A1,-6.236986283
GAST,-8.448855609
KIF12,-3.9477916
TMEM120B,-6.254321127
IL13RA2,-6.236734692
SNRNP200,-3.487058814
ZNF222,-3.002061537
MIR200A,-6.28847652
RBBP7,-7.835776832
C17orf101,-7.595139569
OPN1MW2,-8.509034665
GLI2,-5.254255751
FUT5,-7.186756345
SLC36A1,-5.121098688
HSP90AB1,-8.713539222
SMUG1,-7.512491744
ZMPSTE24,-3.620940865
EGOT,-5.293101598
ZNF778,-5.621502576
PTOV1,-4.075926944
RPL4,-10.61622369
ITGA5,-6.613634134
CLPS,-7.594207736
SYNGAP1,-8.421785572
MSH4,-7.139273516
MIR216A,-8.716202427
IRF2BP2,-2.433119704
AP2A1,-6.948751661
KHDC1L,-6.638106121
UBC,-4.302411889
MIR200C,-8.721333555
PNISR,-7.181073392
MAP7D3,-3.583920736
LIF,-3.256298258
AMTN,-4.49265721
SCGB1A1,-2.388202838
KNTC1,-6.723196217
SNORA50,-5.580150892
ZBTB46,-6.115194947
RPGR,-6.506734141
SORD,-8.059868201
POLR2J2,-5.527136285
MIR133A2,-11.43316714
PGAP3,-4.732646804
HHIP,-6.190847488
C16orf62,-4.326257496
LAMP2,-7.133351557
MIR2276,-7.30815171
TRO,-5.587065923
ESRRG,-4.964121257
C6orf25,-7.266640479
ITPR1,-4.855821549
KIAA0040,-7.613122906
HDAC9,-2.304919779
TNIP1,-5.704183915
GRB10,-6.275290477
SESN1,-5.467748333
TMEM180,-4.266090076
RPS15A,-6.45513135
MYL6,-5.391255135
TBX10,-6.158951745
PGLYRP4,-9.143291677
ARSE,-4.827164269
MUC22,-4.829297509
SNHG4,-3.919907861
ZNF704,-4.593449087
IFI35,-6.651991431
KCNJ13,-8.456509194
AQP4,-4.372922251
FSD1,-6.165947444
FUK,-3.898312923
C1QC,-4.17050203
AARS,-3.015018808
NSUN4,-4.024148976
ADRB1,-5.648808049
ITSN2,-4.282192349
DGCR6L,-3.92874021
RPL13AP5,-9.699469909
CSMD1,-6.273468298
MOGAT1,-7.479441032
LOC100506810,-10.16061672
TEF,-4.577619584
PNPLA5,-6.453085653
SNORA48,-4.433705718
ACRV1,-5.976117162
BSCL2,-4.448981817
DNAL1,-4.037314566
ACE2,-8.543787241
CCDC102B,-6.664127279
RB1,-4.695725956
MIR4479,-5.031322908
IGFBP5,-6.638070954
LOC151484,-6.446951524
PDZD2,-3.176492256
TOR1AIP2,-2.155901064
HDGF,-8.37080194
C8orf48,-6.962403633
PAICS,-6.055166027
C9orf72,-3.985961913
F3,-8.18801327
NOC3L,-2.616047288
TIMM8B,-5.801160926
ZNF782,-5.155610569
PDIA4,-4.707420868
MAL2,-4.94705743
MFSD7,-6.172937126
C4orf52,-2.381551347
STOM,-4.528990417
HSPBAP1,-4.366473414
HR,-4.959772039
MIR3939,-7.494611637
TMEM89,-5.624560525
CENPN,-2.846472026
PNPLA7,-4.599704212
MTOR-AS1,-6.735424497
PANK4,-3.237522078
IL17REL,-4.282665532
NOL10,-6.774573367
CXCR3,-6.538267995
EFNB1,-5.353981298
EXOSC3,-3.139111466
