Gene,LogFC
ARFIP1,5.317878619
MIR4663,8.622563754
CCNB3,5.018540996
YJEFN3,5.217697197
SEC14L6,6.693606258
DLG3,3.537189007
CES3,3.192989784
C9orf172,5.823257064
LRP1,3.778563986
PPP2R3B-AS1,2.435537499
UBE2W,3.701608911
SNORA62,4.257870342
WDR35,3.602919776
LOC646762,3.433005741
MIR631,4.738162842
ZNF865,3.238295844
CX3CL1,6.607833091
SPRR3,4.334415723
MIR4708,5.916368934
SIGLEC1,5.885614562
ZNF367,3.491603789
RLN3,5.680147294
DHX8,6.457479027
MMP17,3.108585482
RAB40B,4.702615732
ATP12A,7.518696001
FAM75A1,6.675762847
CECR5-AS1,5.182622599
CELA3A,4.447623307
MIR184,7.294860941
LOC100506713,3.994244761
AQP1,5.665087318
C6orf170,5.392467426
GOLGA8IP,5.16240675
CAPN10,4.366482189
RXFP2,5.019707695
SNAR-A7,11.21269957
TULP2,6.004783997
CFL1P1,5.696599789
FCRLA,5.976772518
MIR4775,9.762555533
GMEB2,4.490081577
FAM66D,8.16328823
LOC100499484,6.533119481
HOXC13,11.62321573
CDC42BPA,4.78784254
CYP8B1,9.373884237
KIF25,5.28402329
ZNRF2,4.376815405
IZUMO4,4.547909495
RCVRN,11.12199627
HECW2,4.98770154
IL4I1,5.286821653
MIR3202-2,8.376284367
CTU2,3.35231917
MLL2,3.02039482
TAF1L,4.466121943
LOC643648,6.639721253
TWIST1,7.190195113
UBR5,3.153086815
KIAA1683,7.321565483
HACE1,6.694119598
HK3,5.960938815
ASUN,3.369806855
RASGEF1B,4.485424675
TMEM65,4.173808041
CPNE4,4.88238853
TTN,2.945457483
C15orf44,3.270735745
DNAJC9-AS1,5.026151321
THEG,5.722119271
CDH16,3.921080822
SHROOM4,3.788312133
APOBEC1,5.172775202
KLHDC7B,4.658024763
C17orf67,3.880772071
C7orf71,12.20112927
C10orf95,3.477684555
HIST1H1D,5.552598015
OR4N3P,5.571287718
DKFZP434I0714,3.432344716
TTC9C,2.84369611
PKNOX2,6.411138695
CR2,5.390051978
RFX1,4.146475449
CCL3L1,5.6206268
PCDHA1,3.826051036
KBTBD11,4.576753309
MIR196A2,11.53221103
MRM1,3.472882311
MMP25,7.200266547
MIR4310,3.611188652
OR1L8,7.469488325
SNORD116-14,5.427784491
ZNF883,3.654374031
LOC100506122,8.095070653
LOC100506497,6.392438491
MIR921,4.303731691
PHKG2,5.242024338
CYCSP52,8.448388711
TRPC5OS,3.432500196
TMEM62,2.692148734
MKRN9P,7.492785612
KCTD7,3.974614844
UQCR11,2.760925042
VAMP4,3.460738133
CYP2C9,5.004346276
LOC730227,5.398887085
PARP16,6.486105219
THEM5,4.464393068
LOC100507194,6.179226505
INHBB,4.53815895
ARR3,7.002213403
MIR497,6.340555958
SNCAIP,4.591603678
BACH2,3.801017244
PRPH2,5.454107347
LOC100129726,5.075541476
OR10A2,5.146972376
APBB1,4.492055894
LOC100130452,6.027443387
MORN1,3.750296526
INS,4.106434292
HFE2,4.503130024
IPO13,1.89131747
OR10S1,7.678167321
EMILIN1,4.430780124
ATP1A1OS,3.895433182
MIR3960,6.359839443
PMS2P5,4.195245873
CYP3A43,7.624133234
ST18,4.126462658
LOC401497,7.605805042
FLJ45445,2.244290061
SLC27A3,7.116396109
MIR2681,6.701495385
IHH,8.679716863
TMEM233,6.591843475
LRP3,2.676066428
C10orf90,6.667289856
PIP5K1C,3.770926551
PRLH,4.515131417
OSGIN1,2.48789081
PCP2,6.477678833
H3F3C,3.717198833
LOC100287010,10.46100609
PHF21B,4.651574858
ERCC6L2,4.61685635
CLCA4,3.039805786
TUBA4B,2.985094515
MGC21881,4.197377741
LINC00486,4.209188438
PRY,8.118353652
ECSCR,4.162743094
IDNK,4.284583464
RPUSD1,1.802850183
GABRA6,5.176322044
UPK3B,3.376272349
TMEM160,2.314843778
UGT2B4,7.016230085
TYR,5.233221933
NECAB2,3.871270767
LTA,5.035983794
SHC3,5.227277858
RNF44,3.342410982
STX17,2.485201526
ZNF598,2.168199573
OR52B6,7.219247572
CHST1,2.745453977
SH2D5,2.061327733
SFR1,1.743344151
CCRL2,6.793603283
TRMT1,3.218958811
ADTRP,2.682550844
BTNL3,5.121097413
TNXB,4.816637578
KIAA1549,4.754997528
CSN2,7.589197227
DUSP28,3.776156713
FAM173A,2.082909809
ASZ1,5.900948569
LINC00102,8.403927126
HBQ1,7.055121657
HSP90AA6P,4.632384737
DNMT3L,3.399261214
DDIT4L,5.616500841
KRTAP5-1,7.044004927
TNK1,3.20871755
DKFZp566F0947,6.197053412
MAP1A,5.27037484
ZNF678,2.383658554
ZDHHC24,2.116704566
HHATL,9.729799759
SEZ6L,3.436388928
MYOCD,2.92753614
PCSK4,2.429111778
LEPRE1,3.398234105
KLHL4,7.895765452
KCNK17,3.749888753
PKD1,4.58222501
ZNF202,5.333804158
HM13-AS1,3.644867923
ROS1,4.661300248
ZNF248,3.534475148
MAK,6.656655287
AIM2,7.413567244
P2RY14,5.71640978
LINC00615,4.573972437
MGC2889,5.039648511
ADCYAP1,6.776090405
DNAJB13,4.180476677
SEC31B,4.572588585
PRSS45,5.566710335
SPATS2,3.058736825
PARVB,3.439724513
GEM,3.308364865
LOC647946,6.485192648
DNAJA1P5,5.861981261
PLA2G12A,3.92862246
ADAM5P,5.130763024
FANK1,4.073855552
CARD11,2.668840751
GAPDHS,4.468981036
MIR626,3.458852054
LINC00032,4.198763491
ZNF41,3.003510817
USP46,4.78383656
ABI2,2.547192477
CCDC78,2.861245279
LOC283693,7.99617824
FCRL5,7.498785504
GAGE12J,6.139036855
CCDC13-AS1,8.215454184
MIR4758,5.073388771
DCAF4,2.815793719
NLRP6,5.186409456
MPHOSPH8,3.108178833
PEX5,3.270534978
RAB4B-EGLN2,6.192883269
MIR876,4.26293191
PTGES3L-AARSD1,5.473336631
FBXL16,2.055088452
B3GNT8,4.51858241
NLRP9,5.161920956
OTC,9.860853761
MIR563,4.238681301
C2orf70,5.887441768
APBB3,2.606521102
SLC2A4,3.93399398
SNORA33,6.284365452
ANKRD23,3.127263942
TAF5,3.171530043
DNAJB7,3.420496604
FAM102A,2.425517101
KLRD1,5.571670214
PLCB1,4.026438263
APOC3,5.87606183
LOC100270679,4.11009711
SKOR1,5.628615988
RFX8,5.229981774
LOC645434,6.872243436
RBM19,7.010253615
TCP10,6.010111971
CRSP8P,6.068650783
EYS,6.207007098
KCNG4,6.157910708
MIR1306,3.552373193
RRN3P2,3.210992791
FOXN2,3.436192294
C4orf48,2.177213345
ZEB2-AS1,4.550985611
TPTE,3.976776199
ALOX5,3.389751294
OR1F2P,4.0756623
GLIS3,6.819236338
SIRPB1,3.245756133
UNC79,5.354669654
SDK2,2.543740827
CCDC57,3.692808953
LOC284801,6.554545247
RPH3AL,2.680613973
DUSP7,2.691453097
WDR5,4.942588713
SMAD2,2.133452926
SLC37A1,4.635747597
GRM4,5.923710159
OR10A5,6.525781353
S100A7L2,8.408707575
MRPL55,4.584343662
UCP3,3.654702623
SULT1A1,2.769838987
MTMR9LP,4.463528866
ISLR,3.493444868
SPATA5,5.448680753
MTMR9,2.802082015
TSPAN32,5.592379773
SNX7,3.552213091
PPP3R2,5.711579508
SPATA25,5.237928081
TBC1D3H,4.327992237
PPP1R17,6.113284927
KAAG1,6.166276029
STMN3,4.820436612
GAS2L1,1.580094357
SNORA36C,3.944509007
ALDH1L1-AS1,3.9453191
IFNA13,4.635035575
LOC100130275,3.704368862
ATXN7L1,4.434117009
SMA4,3.942714198
LOC401980,3.431447199
LCE3E,2.997266289
AWAT1,6.398543551
RORC,3.465374606
CPNE5,6.539141997
WDR67,3.489943699
WNT5A,5.322052335
ZNF677,2.289654158
KRTAP1-1,7.027166218
SPINK13,5.649171899
FLJ25328,7.097421588
TNR,3.917990188
TMPRSS12,6.534778749
SETBP1,4.998191441
SH3D19,4.828293937
BAAT,5.701103239
CCDC113,2.051047579
MMP12,4.56058612
SLC27A5,2.07796577
GRM5-AS1,5.796165246
VENTXP1,6.455908708
FGF17,3.91820412
ZNF300,3.35295805
ZFP14,4.476864837
GATA1,3.899219983
KSR2,5.447071817
MADCAM1,5.745335148
PIGQ,1.403675403
PTPRD,2.770300453
MAGEB1,9.383828117
SPNS3,4.538378327
LOC100129722,4.429233828
N6AMT2,4.301336474
LOC100132356,3.627183154
KCNV1,7.428294627
LOC100188947,3.372217374
DNAH17,3.486043188
FAM100A,1.64807432
LHFPL1,4.932244342
MIR5703,6.127590222
MIR4434,4.636251739
CPXCR1,8.175600864
VAV2,4.264049164
C3orf15,5.205799614
RNFT2,7.779810659
HEPN1,7.029530359
GAGE13,5.254693511
GPR27,3.000735805
PCDHA13,4.375620485
ZNF44,2.463406887
OR51F1,6.021214306
SNORD115-29,5.980625596
LCN15,4.286824455
SERGEF,4.238499753
SETD1B,3.089895127
TCTN1,2.033560289
SNORD59A,7.117490827
MAP3K2,2.891737967
NAPRT1,2.367492124
TBCK,4.063832677
OR1Q1,5.792541966
LOC387723,4.862055493
OTOL1,2.876685411
TOPORS,2.540396472
SCARNA23,3.552143545
MIR4732,5.891459128
SNORD17,4.466487059
PISRT1,5.738600281
FMO9P,4.51474994
XPA,4.454820787
LOC100129961,3.94123199
FTCD,3.550177693
DHX58,5.436931766
CD79A,4.962955713
DEPDC1,2.34315467
CHRNA3,3.577442192
IQCF1,5.685486761
LOC606724,3.182885617
ZDHHC8P1,4.198894848
SNORD115-45,5.932427491
OR1A1,4.881972169
SPINK1,5.676363993
ACMSD,4.027244868
ASB5,3.931801576
MIR3663,3.576939842
PGPEP1,2.736641401
TAT,6.221649678
HIP1R,1.481604921
UBE2A,2.683729944
MIR1280,2.204530247
UBP1,2.995126817
PLA2G4D,5.32389274
ADAMTS2,5.351919319
ZC3H12A,2.142319659
INSR,1.968416148
LOC100506421,10.95426338
TTTY19,6.079873797
TPSG1,2.941031384
PHLDA2,1.61765869
RTN4RL2,5.520112503
LOC388588,2.890119313
CHL1,2.146231394
CGN,2.873337144
LY6K,4.734197238
FRRS1,3.115987195
LINC00421,9.389432375
TDRD10,5.458370106
LOC100506834,5.305503825
UBE2D4,2.781657215
DNAH1,5.292289837
SH3RF3,2.695002246
PARP10,3.09176271
NXF3,5.286733165
FAM41AY1,8.578788728
H19,4.551318667
RHOV,3.057881979
MIR4730,9.159271604
KRI1,1.70391295
GRAP,4.461590578
SPATA22,3.167760783
NHP2L1,4.268443533
SCG2,5.693789349
FAM47A,3.898122669
LINC00343,6.547358315
C10orf25,4.223469676
SNORA15,3.54139377
PCDHB18,4.446145341
TRAF3IP2,2.730149736
SERPINA9,4.042786302
CACNG7,3.270797557
LOC151174,3.079228402
MIR3177,3.189247769
MIR3545,5.545387499
SNORD115-40,5.761399069
USP17L3,5.340480649
MIR375,8.814855148
LRRC39,3.873555562
ELFN1,3.230795868
MIR3910-2,5.606853848
DDC,7.332378334
FCAR,4.525208123
NKAIN4,5.671961451
MIR553,5.304156003
SNORD116-19,5.47240451
RGS22,5.305173243
SPINT3,5.777308358
LOC100128993,3.97269435
NUMBL,2.671670856
LOC283692,4.19223152
SEC24A,1.778455891
SNX31,4.121170634
LOC100505835,6.00945612
SNAR-A6,5.828188259
CPLX4,7.366921696
DKFZp686D0853,5.390612907
LIFR,2.772526493
CTAGE9,2.936752505
ALG10B,2.38384492
C16orf93,3.394800108
PLCD4,2.189536503
ADAD1,6.117165013
HDAC6,4.358054658
MIR340,5.145833151
SPANXN5,4.522798941
ANKRD46,2.717814068
DMXL2,3.990543008
SAGE1,5.633659966
SNORD116-16,5.368216534
MMP13,4.453994614
MYLIP,3.189421287
CASP7,4.328108994
CDHR2,5.508084469
CD244,4.882762538
SGSM3,1.248454372
TTTY6,8.159296185
CORIN,3.948175592
TOR2A,2.934788287
FER1L6,3.196078935
HIST1H4K,1.949137049
AQP8,4.301774782
LOC100271832,4.084345015
KIAA1383,4.249260263
CLPSL2,6.217609668
MDFI,2.691477593
OR13C4,5.353826719
MAP3K11,2.491534676
MIR1237,4.241575419
UBASH3B,2.187742849
CLEC18C,3.585823782
FLJ37505,5.029522714
MIRLET7A1,4.8342331
LOC100507240,4.396330581
SPATA5L1,3.051136096
DYRK1B,2.613255232
RFTN1,3.989341093
MTTP,4.723067879
MORN4,4.85946226
ZNF484,3.066836513
SERPINB13,4.314461657
LOC389043,3.470395991
MIR1537,3.754803899
PPP1R35,1.41386334
LOC100507391,3.409862541
SACS,3.483130323
MKL1,1.154430401
DHTKD1,1.86193798
DYNLRB2,5.393938316
DIO3OS,7.095703898
ARHGAP27,1.955356797
HOXA4,4.921517717
LOC643401,5.671505195
KLF16,2.0237562
LOC729177,4.080089721
PIDD,2.072552155
LOC100507127,2.069772845
CNKSR3,2.602791626
OR13A1,4.353940262
LDB2,4.025261811
MANBA,2.376766298
OPN1LW,7.443869012
HMGN5,3.397256776
THOP1,3.109132725
STON1,4.727649664
MSR1,4.121660313
XKR3,4.946294114
KCNJ1,2.93267097
CD27-AS1,3.048255078
KLHDC9,2.897667591
FAM43A,4.054526537
NPHP4,3.232196586
SPATA24,3.777164372
PTCRA,4.469609924
RNF103-CHMP3,3.041944664
ZNF846,2.445716944
RAB11FIP3,1.941767967
MIR613,3.81702852
SCAI,5.591989753
APPL1,2.87996039
GUCA2B,5.284952204
MIR3914-2,4.877782929
MIR618,7.643597319
ODF3L1,4.09930315
PLXDC2,2.488123813
SLC26A7,2.729501856
TNP1,4.466667544
TRMT44,1.957791528
CCDC157,3.381758449
PARP9,1.732889071
C1QB,3.785852933
TUBB4A,2.724864078
C22orf13,1.393948228
OMG,4.366360775
CLEC4A,4.122947008
LIN7B,4.148346471
TMEM114,3.129804401
SNORD116-18,4.87276275
PDE2A,2.995474332
CCDC155,2.762101423
GATSL2,3.631525873
MAP3K3,3.140581944
CBLB,2.590306455
OBP2A,4.74630096
TAS2R46,3.229385973
MIR4640,2.782376957
ICOSLG,1.693019857
RAD21-AS1,4.690368198
LPO,6.34872316
RNF34,4.258407371
PSIMCT-1,2.394663976
ASCC3,4.570776631
TUBGCP4,3.949738414
AMHR2,5.073233411
ALOX12,2.918720566
FAT3,3.171995024
LINC00174,2.913477014
TNFAIP8L1,2.635774432
E2F2,4.551924547
PCDHA11,2.777701268
FAM213A,3.640766175
MGC45800,4.920168442
RMND5B,2.187970298
SNORD25,7.396524595
CCDC150,2.893551954
PDHA2,5.391715537
SOLH,2.212731431
LOC399744,2.357137727
NECAP1,2.447315376
MAP3K12,5.002930429
LOC653160,2.741802925
FAM133A,3.411750111
KRTAP4-6,7.002563529
ST7-OT3,3.42275864
LOC389791,3.150858575
PABPN1L,4.080535587
RINL,6.142927067
DHDH,4.096001826
TIFA,2.331231714
HPDL,3.737041133
IFNA1,3.454414852
SCN9A,2.65748248
DAOA,5.319865911
SULF1,2.926218005
LOC282980,3.912569151
PRAMEF22,8.240199256
1-Sep,2.154024861
AZI1,2.87023181
C14orf23,3.105838045
SNAI3,3.833369067
VEPH1,3.485510323
MGAT4C,6.55507348
REREP3,4.597417219
MIR4717,4.537233677
MIR892A,6.839041484
CCL8,4.741211583
PTCD1,2.978324042
VGF,4.162473916
FAM75A4,6.755379826
GRHL3,2.118690988
NSD1,2.363053905
TRPV4,2.208332403
POLR2J4,3.469567627
LRRC18,8.02802021
VSX1,6.869476539
SCN5A,4.90370682
FGF13,5.536641872
ALOX15P1,3.157204734
INSRR,7.205305574
PRAMEF1,5.877983911
POPDC2,3.199259588
LINC00336,5.148819822
GRIA3,5.872367137
CCDC164,6.159066008
SMG8,3.042393044
C16orf92,2.730340308
ZNF300P1,3.051524877
NDUFV1,2.470391043
DCHS2,7.216701496
PDE3B,3.447881963
SYNE4,3.113705675
FLJ16779,6.251068423
SNRNP48,2.078080318
AATF,4.393990663
MIR4523,4.260581221
CA8,4.180697416
CIB4,4.842890454
S1PR4,3.427704723
C1QL1,4.079210952
OR51B2,6.116344873
MIR1276,4.772599491
FRMPD1,4.334171721
TDH,6.078344441
SIGLEC11,7.133083495
KRTAP16-1,5.878654319
LOC441666,4.223351107
CCL5,3.005708727
HS3ST3A1,4.111881325
SLC30A9,2.827341964
C2orf66,2.59353151
RPS6KA5,2.431546948
SARDH,3.487408457
DDX11L2,3.317518626
OR8H1,5.197353008
GJB6,4.363847533
MACC1-AS1,2.494968129
DGKQ,1.849514834
ZNF211,2.258247639
RASAL3,3.89588222
LOC100288911,3.23191005
IFT57,3.173253511
GJA3,3.426661025
RNFT1,3.090280618
C16orf79,5.713477642
C6orf164,4.521626907
LOC643955,7.020394005
EPHX3,3.28184401
FITM1,3.492816159
ADAM22,3.993017643
BRWD3,2.20357503
VASN,2.548696715
DCAF8L1,6.557570013
MIR92B,7.034217422
HCG26,3.093739927
PTGES3L,5.849748659
ZNF593,1.390028577
TRIM17,2.290270214
FMNL1,2.537375831
ELAVL2,6.264905748
MIR3607,2.660747568
PKN3,2.140274513
FNDC1,3.069951639
SERPINA11,3.920141962
CMA1,4.434092235
MIR374B,2.863443683
KRTAP4-1,6.718865022
SKIV2L,3.906525897
TTTY16,8.315319122
FOXD4L5,3.703247749
TIMP2,3.118668944
